"content","per+","per-","pesn+","psn-","pemb+","pemb-","fitur+","fitur-","tmp+","tmp-","umum+","umum-"
"Tolong di perbaiki lagi aplikasi ini,sering logout sendiri,untuk mengakses jg sangat lama. Disappointed Terimakasih.","0","1","0","0","0","0","0","1","0","0","0","0"
"Minta update mulu semenjak tampilan baru,i makin susah diakses dan jauh lebih ribet fiturnya","0","0","0","0","0","0","0","1","0","1","0","1"
"Setelah update kenapa jadi susah buat cek tiket ??? Loading terus. Harus pakai waifi dulu baru bisa dibuka .. Tolong dong diperbaiki !!","0","1","0","0","0","0","0","1","0","0","0","0"
"Saat pesan loading nya lama banget, pas dibatalkan dan pesan lagi malah kursi tidak tersedia","0","0","0","1","0","0","0","0","0","0","0","0"
"Setelah update saya tidak bisa menggunakan promo alumni ITB dan QRIS tidak terdeteksi","0","0","0","0","0","0","0","1","0","0","0","0"
"saat login lamaaAAAA","0","1","0","0","0","0","0","0","0","0","0","0"
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","0","1","0","0","1","0","0","1","1","0","0","0"
"Sangatt lemott","0","1","0","0","0","0","0","0","0","0","0","0"
"Setelah update kaya fitur tapi lemot nya minta ampun, jauh sekali dari yang diharapkan, tolong lekas dibenahi","0","1","0","0","0","0","1","0","0","0","0","0"
"Habis update malah ribet dan sangat sangat lemot, tolong di benahi lagi apa karena masih baru update belum dilalukan percobaan atau gmn, cth di pencarian stasiun kereta sangat lambat loading nya dan stasiun tidak di temukan padahal di versi sebelumnya bisa langsung ketemu dan cepat, pilih tempat duduk loading sampai 20 mnit blm slesai ahirnya beli di traveloka aja ,balikin ke versi sebelumnya aja,di tes dlu sampai benar2 jalan semua fiturnya sebelum apk nya di luncurin buat umum, smg d benerin","0","1","0","0","0","0","0","1","0","0","0","0"
"Lebih nyaman dan cepat digunakan versi sblm ganti tampilan dll.","0","0","0","0","0","0","0","0","0","1","0","0"
"Lemotnya ya Allah.. tinggal bayar juga loading lama padahal jaringan stabil","0","1","0","0","0","0","0","0","0","0","0","0"
"banyak tools tp lemot..suka time out..","0","1","0","0","0","0","1","0","0","0","0","0"
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","0","0","0","0","0","0","0","0","1","0","0","1"
"Tolong dong jangan di ganti susah dan bingung jadi nya mau pesen","0","0","0","1","0","0","0","0","0","0","0","0"
"Setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses loading lama","0","0","0","1","0","0","0","0","0","0","0","0"
"Jadi ribet pengoperasiannya","0","0","0","0","0","0","0","0","0","0","0","1"
"Setelah di update bukannya lebih baik malah zonk. tampilan dan pengoperasian lebih efisien versi lama sumpah, versi baru nyebelin. Aneh","0","0","0","0","0","0","0","0","0","1","0","1"
"Hallo, menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai-pay dengan tiket yang sama, padahal niat awal hanya ingin merefresh saja. Tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya, terima kasih.","0","0","0","0","0","1","0","0","0","0","0","1"
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","0","1","0","0","0","0","0","1","0","1","0","0"
"Lemot bgtttt si abis upgrade tp kualitas malah downgrade, bolak balik pemesanan tinggal bayar aja lemotnya MaasyaaAllah. Mau apasi","0","1","0","0","0","1","0","0","0","0","0","1"
"Menurut aku ketika di update tiket kereta susah buat nunggu cairnya tiket yang di refund beda dengan sebelumnya uang yang kita refund harus nunggu 45 hari buat di transfer kembali pada saat belum di update bisa langsung cair 1jam bahkan gada berhari hari,sangat disayang kan disitu tapi overall dari UI nya sudah bagus.","0","0","0","0","0","0","0","1","1","0","0","0"
"Jadi lemot banget mau masuk menu home","0","1","0","0","0","0","0","0","0","0","0","0"
"Semakin susah gak bs di pesan gak bisa di klik.. masih bagus yg versi lamaðŸ˜­","0","0","0","1","0","0","0","0","0","0","0","1"
"Fitur reduksi harga dihilangkan, aplikasi juga sangat lemot! Ciri khas bumn bgt!","0","1","0","0","0","0","0","0","0","0","0","0"
"saya rasa upgrade version yg sekarang sangat menurun performanya, aplikasi menjadi lambat, terkesan berat, lalu banyak fitur yg kurang berguna sebenarnya,jauhh lebih baik versi sebelum updatenya baik dari performa maupun dari tampilan ui/ux yg lebih friendly versi sebelumnya, mohon ditinjau kembali upgrade app ini","0","1","0","0","0","0","0","0","0","1","0","1"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","0","0","0","0","1","0","0","0","0"
"Setelah di update ke fitur baru jadi lemot bgt:(((","0","1","0","0","0","0","0","0","0","0","0","0"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","0","1","0","0","0","0","0","0","0","0","0","0"
"Kalau tiket abis ga usah di tampilin lagi listnya, jadi bingung nge tap satu persatu karena yang habis tetap ada di list","0","0","0","0","0","0","0","0","0","1","0","0"
"Lemot banget ga bisa login Tolong perbaikannya","0","1","0","0","0","0","0","1","0","0","0","0"
"Aplikasi baru sering crash","0","0","0","0","0","0","0","0","0","0","0","1"
"Ganti baru malah ngak bisa tuk pesan KA antar kota.tpi kalau KA lokasi bisa...","0","0","0","1","0","0","0","0","0","0","0","0"
"Lemmootnya minta ampun, tolong segera di perbaiki sistemnya. Lebih baik uninstal klo lemot bgt kya gini","0","1","0","0","0","0","0","0","0","0","0","0"
"Semakin MANTAP !!! Semoga tidak ada error , dikarenakan banyaknya penambahan fitur","0","0","0","0","0","0","0","0","0","0","1","0"
"Update terbaru malah jadi parah. Tambah lemot dan tambah ribet","0","1","0","0","0","0","0","0","0","0","0","0"
"Kalau bisa tingatkan lemotnya. Update malah bikin lemot.","0","1","0","0","0","0","0","0","0","0","0","0"
"Tambah lemot, Fitur nambah tapi sistem gak support","0","1","0","0","0","0","1","0","0","0","0","0"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0"
"Aplikasi diperbarui tapi malah mempersulit,dulu bisa bayar pakai ewallet sekarang gagal terus, mending dikembalikan kesebelumya malah lancar","0","0","0","0","0","1","0","0","0","0","0","1"
"padahal sinyal bagus tapi susah masuk ke apk terus udah di perbarui malah susah masuknya ini kenapa ya malah gini","0","0","0","0","0","0","0","0","0","0","0","1"
"Hah ini apa malah jadi gabisa dibuka samsek daritadi buka cuma muncul logone tok ga berfungsi samsek","0","0","0","0","0","0","0","0","0","0","0","1"
"Dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dulu","0","0","0","1","0","0","0","0","0","0","0","0"
"Semenjak aplikasinya update jadi makin lemot hadehh","0","1","0","0","0","0","0","0","0","0","0","0"
